Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,117.900002,119.800003,117.599998,119.599998,110.111107,644795
2016-06-08,119.949997,120.000000,118.900002,119.500000,110.019035,561102
2016-06-09,119.000000,119.400002,117.900002,119.400002,109.926979,703307
2016-06-10,118.449997,119.349998,118.250000,118.949997,109.512680,780669
2016-06-13,117.000000,119.050003,116.750000,117.500000,108.177711,765985
2016-06-14,116.800003,117.550003,114.199997,115.050003,105.922104,833592
2016-06-15,115.349998,116.050003,114.150002,115.300003,106.152267,767008
2016-06-16,113.599998,116.500000,113.550003,115.500000,106.336395,811676
2016-06-17,116.150002,117.449997,115.599998,117.199997,107.901512,1271475
2016-06-20,118.699997,121.949997,118.650002,121.949997,112.274658,1116140
2016-06-21,121.699997,123.150002,121.150002,123.000000,113.241364,739080
2016-06-22,124.000000,124.349998,123.150002,123.800003,113.977890,696158
2016-06-23,123.650002,124.750000,121.800003,123.500000,113.701691,943315
2016-06-24,112.000000,120.849998,107.650002,119.849998,110.341278,2289724
2016-06-27,119.300003,121.699997,118.699997,119.750000,110.249214,1157743
2016-06-28,121.900002,123.400002,119.349998,122.650002,112.919121,950627
2016-06-29,123.099998,125.800003,121.849998,125.800003,115.819206,996743
2016-06-30,126.000000,128.500000,125.349998,128.449997,118.258957,1007467
2016-07-01,128.550003,128.949997,125.500000,128.199997,118.028801,763519
2016-07-04,128.500000,129.300003,127.250000,127.400002,117.292267,381913
2016-07-05,126.699997,127.500000,124.449997,125.550003,115.589050,766242
2016-07-06,124.400002,128.149994,124.349998,128.000000,117.844658,921557
2016-07-07,128.500000,128.899994,126.449997,126.550003,116.509697,604606
2016-07-08,125.949997,127.300003,124.300003,126.900002,116.831932,670966
2016-07-11,128.000000,129.949997,126.849998,129.850006,119.547890,555536
2016-07-12,129.399994,131.100006,128.949997,130.949997,120.560616,611123
2016-07-13,130.399994,131.350006,128.750000,131.250000,120.836800,737740
2016-07-14,132.050003,132.399994,129.550003,129.800003,119.501854,649169
2016-07-15,129.500000,131.850006,129.149994,131.550003,121.113029,570630
2016-07-18,131.350006,132.300003,130.250000,131.149994,120.744736,466022
2016-07-19,131.000000,133.000000,130.399994,132.649994,122.125740,570521
2016-07-20,132.949997,136.850006,132.800003,136.600006,125.762352,903062
2016-07-21,136.800003,139.199997,136.600006,138.250000,127.281433,1536597
2016-07-22,137.800003,138.050003,136.649994,137.000000,126.130615,835398
2016-07-25,137.600006,139.300003,137.300003,139.100006,128.063995,668289
2016-07-26,139.000000,140.149994,138.550003,139.300003,128.248138,590849
2016-07-27,140.550003,142.550003,140.199997,140.550003,129.398972,646151
2016-07-28,147.000000,147.949997,143.350006,144.100006,132.667313,2326472
2016-07-29,143.750000,146.750000,143.300003,146.750000,135.107071,1254338
2016-08-01,148.050003,149.100006,147.050003,148.800003,136.994431,928499
2016-08-02,148.100006,149.199997,147.300003,148.199997,136.442017,838764
2016-08-03,148.649994,148.949997,146.949997,147.899994,136.165833,631045
2016-08-04,148.800003,148.800003,141.850006,145.000000,133.495911,1974150
2016-08-05,145.500000,146.850006,144.649994,146.500000,134.876892,868347
2016-08-08,147.649994,148.100006,146.500000,147.899994,136.165833,576119
2016-08-09,148.399994,148.750000,146.649994,148.500000,136.718201,701662
2016-08-10,148.399994,152.250000,148.300003,152.250000,140.170700,996496
2016-08-11,152.800003,154.300003,151.500000,154.300003,142.058060,666915
2016-08-12,154.149994,155.600006,153.600006,155.149994,142.840622,522089
2016-08-15,154.949997,156.350006,154.699997,156.149994,143.761261,416759
2016-08-16,154.000000,156.050003,152.649994,155.800003,143.439056,578873
2016-08-17,156.449997,157.199997,154.899994,156.100006,143.715256,569959
2016-08-18,156.199997,157.449997,155.899994,156.199997,143.807312,488082
2016-08-19,156.500000,156.899994,154.949997,156.550003,144.129562,614912
2016-08-22,156.000000,156.649994,153.100006,153.899994,141.689789,725260
2016-08-23,154.699997,155.149994,152.750000,153.949997,141.735825,652412
2016-08-24,153.050003,154.149994,152.149994,153.050003,140.907227,485514
2016-08-25,152.300003,153.399994,151.449997,152.100006,140.032623,631831
2016-08-26,152.500000,153.899994,152.149994,153.550003,141.367569,501536
2016-08-29,152.250000,153.050003,150.800003,152.699997,140.585007,290245
2016-08-30,152.850006,153.899994,152.199997,152.199997,140.124664,434428
2016-08-31,151.449997,151.500000,148.050003,148.949997,137.132507,954588
2016-09-01,148.800003,150.300003,146.649994,147.800003,136.073776,809800
2016-09-02,145.149994,146.399994,143.649994,145.449997,133.910202,1286879
2016-09-05,145.199997,148.149994,144.750000,147.350006,135.659470,519370
2016-09-06,147.199997,147.800003,145.750000,146.500000,134.876892,632563
2016-09-07,147.250000,148.949997,147.000000,148.350006,136.580139,625173
2016-09-08,148.800003,149.399994,145.750000,146.149994,134.554657,706147
2016-09-09,145.399994,146.149994,144.050003,145.050003,133.541946,557604
2016-09-12,142.300003,147.149994,142.050003,146.199997,134.600693,812277
2016-09-13,146.449997,149.899994,146.350006,148.050003,136.303940,884135
2016-09-14,148.399994,149.750000,147.199997,148.399994,136.626144,806879
2016-09-15,147.850006,150.600006,147.149994,150.600006,138.651611,876906
2016-09-16,150.850006,151.399994,147.350006,149.899994,138.007126,9908728
2016-09-19,150.050003,150.449997,148.350006,149.199997,137.362671,1017140
2016-09-20,149.600006,152.000000,149.350006,151.300003,139.296097,900807
2016-09-21,152.449997,154.550003,152.300003,153.050003,140.907227,866326
2016-09-22,154.350006,154.949997,153.000000,154.850006,142.564438,832928
2016-09-23,155.000000,155.350006,154.399994,155.100006,142.794601,601419
2016-09-26,153.949997,155.100006,152.850006,153.250000,141.091370,813460
2016-09-27,154.050003,154.449997,151.100006,152.300003,140.216736,615962
2016-09-28,152.199997,155.550003,152.100006,155.550003,143.208893,753357
2016-09-29,156.750000,157.399994,153.300003,153.600006,141.413605,615337
2016-09-30,152.149994,154.850006,151.600006,154.500000,142.242188,832981
2016-10-04,154.399994,157.399994,154.149994,157.399994,144.912094,852290
2016-10-05,156.000000,157.100006,155.100006,155.850006,143.485123,534460
2016-10-06,155.750000,156.000000,153.550003,153.800003,141.597748,586811
2016-10-07,154.000000,156.050003,152.699997,155.149994,142.840622,625325
2016-10-10,154.949997,157.850006,154.899994,157.850006,145.326401,525920
2016-10-11,157.750000,158.199997,155.300003,155.550003,143.208893,515954
2016-10-12,155.300003,156.449997,154.500000,155.699997,143.346985,481440
2016-10-13,154.800003,155.100006,153.199997,153.199997,141.045319,625893
2016-10-14,154.300003,157.350006,154.300003,157.100006,144.635925,703278
2016-10-17,156.500000,157.649994,155.550003,155.949997,143.577148,526529
2016-10-18,156.699997,158.300003,156.350006,157.800003,145.280380,772177
2016-10-19,158.000000,159.149994,157.550003,158.500000,145.924835,656359
2016-10-20,158.649994,159.500000,157.399994,159.500000,146.845520,669184
2016-10-21,159.899994,160.300003,156.149994,156.649994,144.221619,727377
2016-10-24,157.300003,157.350006,154.899994,155.199997,142.886642,577946
2016-10-25,155.000000,157.250000,151.250000,152.699997,140.585007,1191679
2016-10-26,152.050003,152.250000,149.399994,149.399994,137.546814,970793
2016-10-27,148.800003,149.649994,147.300003,149.649994,137.776978,823591
2016-10-28,148.750000,149.899994,147.300003,149.699997,137.823029,598484
2016-10-31,149.050003,150.100006,148.399994,149.399994,137.546814,613835
2016-11-01,150.000000,150.699997,146.899994,147.100006,135.429306,687610
2016-11-02,145.800003,147.149994,145.199997,146.550003,134.922943,713327
2016-11-03,142.000000,142.000000,133.649994,137.350006,126.452843,2873149
2016-11-04,136.000000,136.100006,131.800003,133.050003,122.494011,1701476
2016-11-07,135.000000,136.600006,134.899994,136.449997,125.624245,945770
2016-11-08,136.850006,137.699997,135.899994,136.600006,125.762352,756607
2016-11-09,131.550003,139.699997,131.000000,139.699997,128.616409,1302009
2016-11-10,140.149994,140.300003,129.600006,131.699997,121.251114,1802299
2016-11-11,132.500000,135.199997,132.500000,133.449997,122.862259,918438
2016-11-14,134.500000,136.199997,134.000000,134.199997,123.552757,982589
2016-11-15,134.850006,139.350006,134.750000,138.750000,127.741791,894017
2016-11-16,139.050003,139.500000,136.149994,137.449997,126.544907,667914
2016-11-17,136.949997,139.550003,135.300003,139.500000,128.432266,560903
2016-11-18,140.000000,140.649994,137.899994,139.000000,127.971939,708902
2016-11-21,139.550003,139.899994,137.750000,139.500000,128.432266,487029
2016-11-22,140.449997,140.449997,138.350006,139.050003,128.017960,529751
2016-11-23,139.550003,140.100006,137.750000,138.850006,127.833847,529300
2016-11-24,139.500000,140.149994,138.500000,138.649994,127.649696,322401
2016-11-25,139.000000,139.449997,137.699997,139.199997,128.156067,480654
2016-11-28,138.449997,139.899994,137.300003,137.600006,126.683014,513552
2016-11-29,137.199997,139.449997,136.850006,139.399994,128.340195,573260
2016-11-30,138.149994,139.500000,137.449997,139.000000,127.971939,930423
2016-12-01,138.699997,139.949997,137.250000,137.649994,126.729042,653981
2016-12-02,137.750000,139.449997,136.750000,138.500000,127.511620,670724
2016-12-05,138.000000,142.449997,138.000000,141.000000,129.813248,722690
2016-12-06,141.199997,141.449997,139.899994,141.149994,129.951355,512447
2016-12-07,142.300003,142.449997,140.149994,142.449997,131.148224,792920
2016-12-08,144.500000,145.100006,142.699997,144.699997,133.219727,1072977
2016-12-09,144.250000,145.100006,143.850006,144.399994,132.943497,620383
2016-12-12,144.350006,145.600006,143.750000,144.300003,132.851456,509874
2016-12-13,144.649994,146.449997,144.649994,145.800003,134.232437,612859
2016-12-14,144.399994,144.949997,142.149994,142.850006,131.516495,608841
2016-12-15,142.850006,143.850006,140.949997,143.699997,132.299042,834543
2016-12-16,143.350006,145.100006,143.199997,144.750000,133.265747,1163325
2016-12-19,144.100006,145.000000,143.500000,145.000000,133.495911,364384
2016-12-20,145.500000,146.300003,144.949997,146.149994,134.554657,419627
2016-12-21,145.899994,147.100006,144.550003,144.750000,133.265747,572514
2016-12-22,144.199997,145.300003,143.800003,144.899994,133.403839,275665
2016-12-23,144.949997,145.500000,143.800003,144.500000,133.035583,210865
2016-12-27,144.500000,145.600006,144.500000,145.550003,134.002274,180959
2016-12-28,145.250000,147.250000,144.949997,147.250000,135.567383,296572
2016-12-29,146.699997,148.199997,146.399994,147.949997,136.211853,249780
2016-12-30,148.000000,150.149994,147.550003,150.149994,138.237305,429338
2017-01-02,149.750000,151.949997,149.350006,151.300003,139.296097,445138
2017-01-03,150.899994,151.050003,148.800003,149.250000,137.408722,641172
2017-01-04,149.399994,149.399994,146.350006,146.399994,134.784851,618563
2017-01-05,145.250000,145.800003,143.500000,144.300003,132.851456,739147
2017-01-06,143.800003,145.050003,142.949997,144.800003,133.311783,641054
2017-01-09,145.100006,145.399994,144.149994,144.500000,133.035583,583147
2017-01-10,145.250000,146.100006,144.449997,144.800003,133.311783,460627
2017-01-11,144.750000,146.250000,144.699997,145.550003,134.002274,412401
2017-01-12,144.800003,146.500000,144.300003,146.000000,134.416565,534037
2017-01-13,146.449997,147.949997,145.350006,147.949997,136.211853,487101
2017-01-16,146.850006,148.899994,146.850006,148.300003,136.534088,351401
2017-01-17,147.649994,147.800003,145.850006,147.350006,135.659470,433069
2017-01-18,147.300003,151.800003,147.300003,151.699997,139.664337,680676
2017-01-19,151.750000,152.850006,150.600006,152.300003,140.216736,621644
2017-01-20,151.250000,152.899994,149.850006,152.199997,140.124664,755126
2017-01-23,151.399994,153.500000,151.250000,152.500000,140.400879,474302
2017-01-24,153.149994,155.199997,152.600006,152.800003,140.677063,582573
2017-01-25,154.000000,155.750000,153.550003,153.850006,141.643753,600743
2017-01-26,154.949997,155.649994,154.350006,155.399994,143.070801,504806
2017-01-27,155.550003,156.350006,153.199997,153.850006,141.643753,698509
2017-01-30,153.100006,153.750000,150.149994,150.500000,138.559570,629433
2017-01-31,150.199997,152.000000,145.649994,145.649994,134.094330,1333715
2017-02-01,146.149994,148.350006,145.600006,147.300003,135.613434,807251
2017-02-02,147.000000,148.350006,146.500000,146.949997,135.291199,466670
2017-02-03,146.899994,147.899994,146.199997,147.000000,135.337219,509997
2017-02-06,146.250000,146.550003,143.800003,143.800003,132.391113,965588
2017-02-07,143.000000,145.800003,142.600006,144.300003,132.851456,578766
2017-02-08,143.800003,144.300003,142.850006,144.000000,132.575241,480704
2017-02-09,144.750000,148.449997,144.350006,148.000000,136.257904,642175
2017-02-10,149.000000,150.050003,148.649994,149.399994,137.546814,473664
2017-02-13,149.850006,152.199997,149.250000,151.250000,139.250046,415760
2017-02-14,151.550003,152.399994,150.750000,150.800003,138.835754,411384
2017-02-15,150.850006,151.100006,149.000000,149.550003,137.684921,450100
2017-02-16,149.399994,149.949997,147.600006,147.600006,135.889633,572259
2017-02-17,148.199997,148.600006,146.449997,148.449997,136.672195,678885
2017-02-20,149.449997,149.649994,148.199997,148.399994,136.626144,329148
2017-02-21,148.449997,152.750000,148.399994,152.050003,139.986572,521084
2017-02-22,151.750000,153.449997,150.949997,153.149994,140.999283,683490
2017-02-23,153.149994,153.399994,152.350006,152.949997,140.815170,356447
2017-02-24,152.850006,153.399994,150.899994,151.899994,139.848465,533288
2017-02-27,156.500000,158.649994,156.500000,157.800003,145.280380,884916
2017-02-28,157.100006,158.850006,156.500000,158.399994,145.832764,774756
2017-03-01,157.399994,160.750000,157.350006,160.699997,147.950287,669074
2017-03-02,160.550003,163.750000,159.449997,162.750000,149.837646,654543
2017-03-03,161.600006,161.850006,160.600006,161.000000,148.226486,609704
2017-03-06,160.750000,161.850006,159.500000,160.000000,147.305832,612986
2017-03-07,160.199997,161.300003,159.149994,159.800003,147.121704,650204
2017-03-08,168.100006,175.000000,168.100006,174.850006,160.977646,3362506
2017-03-09,175.000000,180.050003,173.899994,178.050003,163.923782,1400718
2017-03-10,179.399994,179.600006,177.199997,179.449997,165.212692,792790
2017-03-13,179.699997,180.149994,178.800003,179.899994,165.626984,708576
2017-03-14,179.500000,180.199997,175.149994,175.600006,161.668167,1000932
2017-03-15,177.250000,179.600006,176.500000,179.600006,165.350800,751624
2017-03-16,181.899994,185.050003,181.699997,183.050003,168.527084,1125453
2017-03-17,182.750000,184.250000,182.149994,183.199997,168.665176,895017
2017-03-20,182.550003,183.250000,181.199997,181.449997,167.054001,446196
2017-03-21,181.550003,182.750000,179.449997,180.699997,166.363525,656873
2017-03-22,179.000000,179.850006,178.449997,179.000000,164.798401,747970
2017-03-23,179.449997,179.899994,177.600006,179.449997,165.212692,567642
2017-03-24,179.449997,179.850006,178.300003,178.550003,164.384094,421676
2017-03-27,177.500000,178.050003,175.649994,176.050003,162.082458,624775
2017-03-28,177.949997,178.350006,176.649994,177.949997,163.831711,503175
2017-03-29,178.399994,178.800003,177.199997,177.949997,163.831711,375436
2017-03-30,178.100006,178.699997,176.800003,177.800003,163.693604,394414
2017-03-31,177.449997,178.350006,177.050003,178.300003,164.153946,565648
2017-04-03,178.899994,179.449997,175.850006,175.850006,161.898315,455509
2017-04-04,175.899994,178.149994,175.300003,177.600006,163.509476,520198
2017-04-05,177.000000,177.600006,175.500000,175.600006,161.668167,513493
2017-04-06,174.449997,176.949997,173.949997,176.600006,162.588821,478895
2017-04-07,176.149994,178.300003,175.500000,178.300003,164.153946,514932
2017-04-10,178.399994,178.649994,176.649994,177.399994,163.325333,270234
2017-04-11,176.649994,178.300003,174.649994,175.800003,161.852295,475036
2017-04-12,176.149994,177.449997,175.250000,177.449997,163.371353,501507
2017-04-13,177.350006,178.800003,176.750000,178.050003,163.923782,518083
2017-04-18,178.500000,179.750000,177.949997,177.949997,163.831711,502509
2017-04-19,177.949997,178.500000,176.649994,177.300003,163.233276,391724
2017-04-20,177.100006,178.699997,176.550003,178.199997,164.061859,615875
2017-04-21,178.649994,181.250000,178.149994,180.399994,166.087326,926045
2017-04-24,186.300003,187.000000,182.899994,184.350006,169.723938,907294
2017-04-25,185.300003,186.350006,184.300003,185.699997,170.966827,531546
2017-04-26,185.899994,186.300003,184.300003,185.350006,170.644608,468211
2017-04-27,185.199997,185.949997,184.350006,184.350006,169.723938,489836
2017-04-28,183.699997,185.899994,183.300003,183.899994,169.309616,652878
2017-05-02,184.449997,184.750000,182.350006,183.100006,168.573120,625631
2017-05-03,182.699997,183.149994,179.350006,182.149994,167.698471,717246
2017-05-04,185.300003,188.949997,183.300003,183.800003,169.217590,831808
2017-05-05,183.050003,185.250000,182.550003,184.149994,169.539795,818710
2017-05-08,185.449997,185.449997,181.500000,182.399994,167.928650,656708
2017-05-09,183.300003,184.250000,181.800003,183.850006,169.263611,497189
2017-05-10,183.000000,183.399994,180.449997,180.600006,166.271454,732327
2017-05-11,181.050003,182.000000,178.199997,179.000000,164.798401,927041
2017-05-12,176.899994,177.449997,175.699997,176.199997,164.053543,615639
2017-05-15,177.000000,177.300003,175.699997,177.300003,165.077728,459789
2017-05-16,177.399994,178.050003,176.000000,177.250000,165.031158,381182
2017-05-17,176.449997,176.600006,173.750000,173.850006,161.865555,542158
2017-05-18,174.250000,175.949997,174.100006,174.350006,162.331085,734082
2017-05-19,174.250000,175.600006,172.500000,172.500000,160.608597,860362
2017-05-22,172.699997,173.699997,169.250000,171.899994,160.049973,815418
2017-05-23,171.050003,171.699997,169.800003,171.350006,159.537888,513269
2017-05-24,170.600006,171.000000,169.850006,169.850006,158.141296,467193
2017-05-25,170.600006,171.850006,167.699997,171.050003,159.258560,612923
2017-05-26,171.050003,172.199997,170.199997,172.149994,160.282730,551430
2017-05-29,172.399994,173.050003,171.750000,172.800003,160.887924,290186
2017-05-30,172.399994,174.500000,171.850006,173.800003,161.819000,537842
2017-05-31,174.000000,174.000000,170.250000,170.250000,158.513718,977853
2017-06-01,170.750000,171.800003,170.250000,171.000000,159.212006,551414
2017-06-02,172.550003,173.100006,171.449997,171.500000,159.677536,496966
2017-06-05,171.500000,171.500000,171.500000,171.500000,159.677536,0
2017-06-06,170.399994,170.800003,168.699997,168.750000,157.117111,530780
2017-06-07,168.000000,171.850006,167.300003,171.300003,159.491333,748764
2017-06-08,171.050003,171.250000,168.000000,168.750000,157.117111,536891
2017-06-09,168.750000,170.949997,168.250000,170.000000,158.280945,910658
2017-06-12,169.899994,172.600006,169.250000,172.399994,160.515503,699432
2017-06-13,172.800003,175.699997,171.600006,175.699997,163.588013,841699
2017-06-14,174.949997,178.649994,174.949997,177.600006,165.357040,973267
2017-06-15,177.550003,177.850006,172.850006,173.649994,161.679337,1022877
2017-06-16,173.750000,174.850006,173.100006,174.050003,162.051758,1856697
2017-06-19,175.000000,175.550003,174.100006,174.750000,162.703506,386916
2017-06-20,175.300003,175.300003,171.949997,172.000000,160.143066,544632
2017-06-21,171.550003,171.550003,169.750000,170.850006,159.072357,459132
2017-06-22,170.800003,170.949997,169.350006,169.600006,157.908539,401022
2017-06-23,169.000000,169.449997,168.100006,168.500000,156.884354,458352
2017-06-26,169.250000,170.000000,168.399994,168.800003,157.163696,339014
2017-06-27,168.600006,169.050003,167.399994,168.800003,157.163696,425644
2017-06-28,167.850006,169.800003,167.600006,168.149994,156.558487,501521
