Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,49.709999,50.529999,49.439999,50.360001,50.360001,542254
2016-06-08,50.410000,51.619999,50.320000,51.230000,51.230000,656416
2016-06-09,51.450001,51.669998,50.230000,50.560001,50.560001,560723
2016-06-10,50.470001,50.730000,48.799999,49.070000,49.070000,596119
2016-06-13,48.849998,49.279999,48.160000,48.880001,48.880001,506036
2016-06-14,48.520000,48.689999,47.840000,48.490002,48.490002,456144
2016-06-15,47.900002,48.720001,47.279999,48.009998,48.009998,527870
2016-06-16,47.450001,47.750000,45.910000,46.209999,46.209999,507910
2016-06-17,45.990002,48.290001,45.830002,47.980000,47.980000,226653
2016-06-20,48.290001,49.419998,48.139999,49.369999,49.369999,98293
2016-06-21,49.139999,49.320000,48.160000,48.849998,48.849998,475407
2016-06-22,50.220001,50.540001,48.400002,49.130001,49.130001,569939
2016-06-23,49.080002,50.230000,49.080002,50.110001,50.110001,401885
2016-06-24,50.299999,50.450001,46.700001,47.639999,47.639999,649446
2016-06-27,47.810001,47.959999,45.830002,46.330002,46.330002,504613
2016-06-28,46.590000,48.180000,46.540001,47.849998,47.849998,498851
2016-06-29,48.060001,50.000000,47.980000,49.880001,49.880001,511476
2016-06-30,49.549999,49.619999,48.169998,48.330002,48.330002,508736
2016-07-01,48.380001,49.299999,47.900002,48.990002,48.990002,405187
2016-07-05,49.110001,49.349998,46.330002,46.599998,46.599998,609194
2016-07-06,46.830002,47.950001,45.919998,47.430000,47.430000,607663
2016-07-07,47.880001,48.250000,44.869999,45.139999,45.139999,710893
2016-07-08,45.189999,45.970001,44.770000,45.410000,45.410000,583078
2016-07-11,45.070000,45.770000,44.419998,44.759998,44.759998,533657
2016-07-12,44.580002,46.930000,44.509998,46.799999,46.799999,658257
2016-07-13,46.580002,46.709999,44.560001,44.750000,44.750000,686245
2016-07-14,45.139999,45.799999,44.950001,45.680000,45.680000,573761
2016-07-15,45.520000,46.330002,45.049999,45.950001,45.950001,430256
2016-07-18,46.119999,46.139999,44.860001,45.240002,45.240002,211393
2016-07-19,45.230000,45.669998,44.529999,44.650002,44.650002,128127
2016-07-20,44.590000,45.250000,43.689999,44.939999,44.939999,541014
2016-07-21,45.650002,46.090000,44.520000,44.750000,44.750000,432972
2016-07-22,44.599998,44.970001,43.740002,44.189999,44.189999,428407
2016-07-25,44.200001,44.369999,42.970001,43.130001,43.130001,389837
2016-07-26,43.070000,43.389999,42.360001,42.919998,42.919998,461324
2016-07-27,42.660000,43.200001,41.680000,41.919998,41.919998,537390
2016-07-28,41.930000,42.220001,41.040001,41.139999,41.139999,447913
2016-07-29,41.119999,41.669998,40.570000,41.599998,41.599998,478763
2016-08-01,41.349998,41.880001,39.820000,40.060001,40.060001,533020
2016-08-02,40.080002,40.910000,39.259998,39.509998,39.509998,534512
2016-08-03,39.700001,41.200001,39.189999,40.830002,40.830002,655186
2016-08-04,41.160000,42.080002,40.430000,41.930000,41.930000,598836
2016-08-05,41.840000,42.099998,41.060001,41.799999,41.799999,550189
2016-08-08,41.990002,43.389999,41.810001,43.020000,43.020000,562530
2016-08-09,42.830002,43.520000,42.470001,42.770000,42.770000,624703
2016-08-10,42.740002,43.389999,41.419998,41.709999,41.709999,676148
2016-08-11,41.480000,43.860001,41.099998,43.490002,43.490002,682235
2016-08-12,43.459999,44.779999,43.310001,44.490002,44.490002,536081
2016-08-15,44.740002,45.930000,44.380001,45.740002,45.740002,522526
2016-08-16,45.590000,46.730000,45.340000,46.580002,46.580002,550440
2016-08-17,46.369999,46.950001,45.840000,46.790001,46.790001,563354
2016-08-18,46.900002,48.380001,46.630001,48.220001,48.220001,229277
2016-08-19,48.330002,48.750000,47.930000,48.520000,48.520000,162438
2016-08-22,48.400002,48.400002,46.750000,47.049999,47.049999,515256
2016-08-23,47.389999,48.320000,46.590000,48.099998,48.099998,623904
2016-08-24,47.590000,47.740002,46.450001,46.770000,46.770000,603495
2016-08-25,46.799999,47.459999,46.419998,47.330002,47.330002,458816
2016-08-26,47.369999,48.459999,46.939999,47.639999,47.639999,558344
2016-08-29,47.220001,47.279999,46.619999,46.980000,46.980000,309254
2016-08-30,46.980000,47.490002,46.209999,46.349998,46.349998,464449
2016-08-31,46.240002,46.410000,44.509998,44.700001,44.700001,549007
2016-09-01,44.849998,45.080002,43.000000,43.160000,43.160000,605003
2016-09-02,43.549999,44.669998,43.160000,44.439999,44.439999,576915
2016-09-06,44.150002,46.529999,43.840000,44.830002,44.830002,932145
2016-09-07,44.849998,46.169998,44.549999,45.500000,45.500000,572884
2016-09-08,46.119999,47.750000,45.770000,47.619999,47.619999,761943
2016-09-09,47.360001,47.360001,45.560001,45.880001,45.880001,688191
2016-09-12,45.570000,46.509998,44.720001,46.290001,46.290001,745016
2016-09-13,46.060001,46.130001,44.770000,44.900002,44.900002,657775
2016-09-14,45.000000,45.330002,43.419998,43.580002,43.580002,705861
2016-09-15,43.700001,44.340000,43.259998,43.910000,43.910000,537185
2016-09-16,43.709999,43.750000,42.740002,43.029999,43.029999,231191
2016-09-19,43.180000,44.150002,43.119999,43.299999,43.299999,129857
2016-09-20,43.130001,44.049999,42.549999,43.439999,43.439999,694130
2016-09-21,44.500000,45.650002,44.500000,45.340000,45.340000,585987
2016-09-22,45.619999,46.520000,45.520000,46.320000,46.320000,521680
2016-09-23,46.070000,46.549999,44.220001,44.480000,44.480000,718395
2016-09-26,44.619999,46.200001,44.430000,45.930000,45.930000,527119
2016-09-27,45.619999,45.959999,44.189999,44.669998,44.669998,630757
2016-09-28,44.959999,47.450001,44.349998,47.049999,47.049999,1008434
2016-09-29,47.200001,48.320000,46.599998,47.830002,47.830002,702649
2016-09-30,47.759998,48.299999,47.040001,48.240002,48.240002,496515
2016-10-03,48.040001,49.020000,47.779999,48.810001,48.810001,458021
2016-10-04,48.650002,49.259998,48.259998,48.689999,48.689999,513710
2016-10-05,49.259998,49.970001,49.099998,49.830002,49.830002,520070
2016-10-06,49.650002,50.630001,49.330002,50.439999,50.439999,547915
