Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,21.920000,22.129999,21.830000,21.910000,15.434039,3980131
2016-06-08,21.815001,21.825001,21.485001,21.559999,15.187489,4537935
2016-06-09,21.430000,21.455000,21.165001,21.205000,14.937418,4218148
2016-06-10,21.049999,21.065001,20.105000,20.309999,14.306952,9795966
2016-06-13,20.000000,20.225000,19.594999,19.594999,13.803285,8540087
2016-06-14,19.299999,19.645000,19.190001,19.295000,13.591959,9375538
2016-06-15,19.535000,19.625000,19.270000,19.270000,13.574347,7648822
2016-06-16,19.000000,19.469999,18.905001,19.440001,13.694099,9382069
2016-06-17,19.655001,19.934999,19.575001,19.680000,13.863162,12862634
2016-06-20,20.639999,20.690001,20.275000,20.510000,14.447839,7854985
2016-06-21,20.445000,20.844999,20.264999,20.770000,14.630988,7035126
2016-06-22,20.895000,21.155001,20.809999,20.905001,14.726087,5489707
2016-06-23,21.135000,21.510000,20.879999,21.510000,15.152268,7258097
2016-06-24,18.010000,19.195000,16.985001,18.180000,12.806519,33849907
2016-06-27,18.240000,18.365000,16.110001,16.405001,11.556158,24502842
2016-06-28,17.059999,17.450001,16.934999,17.200001,12.116179,18640649
2016-06-29,17.434999,17.900000,17.370001,17.840000,12.567013,13751336
2016-06-30,17.799999,17.950001,17.459999,17.805000,12.542359,10586328
2016-07-01,17.930000,18.080000,17.520000,17.860001,12.581101,9374661
2016-07-04,17.945000,17.945000,17.410000,17.549999,12.362728,6286419
2016-07-05,17.334999,17.344999,16.840000,16.965000,11.950638,10848458
2016-07-06,16.795000,16.860001,16.180000,16.305000,11.485714,13943662
2016-07-07,16.450001,16.844999,16.330000,16.385000,11.542068,8696497
2016-07-08,16.355000,17.230000,16.254999,17.075001,12.028127,9686145
2016-07-11,17.299999,17.385000,16.910000,17.295000,12.183099,5040410
2016-07-12,17.340000,18.245001,17.260000,18.165001,12.795954,11259360
2016-07-13,18.170000,18.299999,17.889999,17.910000,12.616323,7386303
2016-07-14,18.090000,18.480000,18.004999,18.334999,12.915705,6805970
2016-07-15,18.250000,18.480000,17.959999,18.150000,12.785385,5795881
