Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,4.048000,4.128000,4.046000,4.114000,3.241677,59567435
2016-06-08,4.084000,4.156000,4.078000,4.126000,3.251133,30556973
2016-06-09,4.144000,4.156000,4.090000,4.122000,3.247981,35521846
2016-06-10,4.112000,4.124000,3.952000,3.982000,3.137666,64167576
2016-06-13,3.960000,3.968000,3.890000,3.918000,3.087237,49033388
2016-06-14,3.880000,3.926000,3.826000,3.850000,3.033655,46131891
2016-06-15,3.860000,3.954000,3.852000,3.910000,3.080933,48297388
2016-06-16,3.880000,3.930000,3.862000,3.930000,3.096693,50050542
2016-06-17,3.960000,4.050000,3.948000,4.020000,3.167609,105761777
2016-06-20,3.978000,3.998000,3.924000,3.956000,3.246389,49670364
2016-06-21,3.950000,3.982000,3.924000,3.966000,3.254595,55960890
2016-06-22,3.962000,3.970000,3.906000,3.906000,3.205358,32700476
2016-06-23,3.916000,4.002000,3.898000,4.002000,3.284138,46775794
2016-06-24,3.762000,3.780000,3.540000,3.600000,2.954247,147004479
2016-06-27,3.546000,3.704000,3.546000,3.586000,2.942758,77571846
2016-06-28,3.650000,3.764000,3.638000,3.742000,3.070776,66569930
2016-06-29,3.804000,3.900000,3.792000,3.900000,3.200434,51165944
2016-06-30,3.884000,3.980000,3.842000,3.980000,3.266084,58337063
2016-07-01,3.990000,4.010000,3.928000,3.976000,3.262801,33630511
2016-07-04,3.998000,4.028000,3.966000,3.982000,3.267725,23749230
2016-07-05,3.968000,4.006000,3.918000,3.956000,3.246389,39872434
2016-07-06,3.930000,3.958000,3.866000,3.882000,3.185663,45684855
2016-07-07,3.892000,3.958000,3.852000,3.856000,3.164326,35968317
2016-07-08,3.842000,3.944000,3.842000,3.930000,3.225053,32147442
2016-07-11,3.950000,3.982000,3.930000,3.958000,3.248030,25739457
2016-07-12,3.964000,3.994000,3.944000,3.976000,3.262801,38470130
2016-07-13,3.948000,3.988000,3.926000,3.982000,3.267725,33803866
2016-07-14,4.000000,4.018000,3.954000,3.990000,3.274290,62824378
2016-07-15,3.964000,4.004000,3.962000,3.992000,3.275931,27775747
2016-07-18,3.998000,4.024000,3.958000,3.996000,3.279214,26190716
2016-07-19,3.988000,4.004000,3.950000,3.970000,3.257878,28901108
2016-07-20,3.990000,4.004000,3.966000,3.976000,3.262801,27275387
2016-07-21,3.986000,4.040000,3.956000,4.024000,3.302191,34642203
2016-07-22,4.016000,4.046000,4.000000,4.028000,3.305474,25944138
2016-07-25,4.036000,4.046000,4.006000,4.028000,3.305474,23001677
2016-07-26,4.024000,4.040000,3.976000,4.018000,3.297268,23918537
2016-07-27,4.004000,4.048000,3.992000,4.024000,3.302191,29028517
2016-07-28,4.018000,4.084000,3.974000,4.012000,3.292344,40344674
2016-07-29,4.084000,4.118000,4.048000,4.118000,3.379330,50269240
2016-08-01,4.120000,4.170000,4.084000,4.098000,3.362918,36943554
2016-08-02,4.088000,4.104000,4.024000,4.044000,3.318604,37986195
2016-08-03,4.056000,4.064000,4.024000,4.026000,3.303833,26482794
2016-08-04,4.036000,4.060000,4.024000,4.042000,3.316962,25722882
2016-08-05,4.044000,4.094000,4.036000,4.094000,3.359635,27869806
2016-08-08,4.092000,4.104000,4.074000,4.074000,3.343223,20101947
2016-08-09,4.068000,4.088000,4.038000,4.062000,3.333375,24565254
2016-08-10,4.054000,4.062000,4.036000,4.054000,3.326810,25172501
2016-08-11,4.062000,4.110000,4.056000,4.110000,3.372765,28626828
2016-08-12,4.100000,4.134000,4.094000,4.104000,3.367841,22365432
2016-08-16,4.090000,4.100000,4.002000,4.008000,3.289062,43356055
2016-08-17,4.022000,4.026000,3.934000,3.934000,3.228335,33483611
2016-08-18,3.958000,3.972000,3.920000,3.938000,3.231618,24655710
