Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,13.775000,14.020000,13.750000,13.950000,10.364911,9092283
2016-06-08,13.910000,14.310000,13.910000,14.310000,10.632395,11133323
2016-06-09,14.320000,14.385000,14.160000,14.310000,10.632395,8709402
2016-06-10,14.270000,14.270000,13.905000,14.115000,10.487508,11268657
2016-06-13,13.925000,13.965000,13.790000,13.855000,10.294326,7808975
2016-06-14,13.740000,13.760000,13.430000,13.610000,10.112290,10980320
2016-06-15,13.610000,13.865000,13.585000,13.840000,10.283182,7543120
2016-06-16,13.650000,13.850000,13.565000,13.850000,10.290611,8480760
2016-06-17,13.955000,14.135000,13.920000,14.120000,10.491222,14015304
2016-06-20,14.395000,14.520000,14.355000,14.480000,10.758704,8172943
2016-06-21,14.465000,14.575000,14.355000,14.515000,10.784711,5811755
2016-06-22,14.545000,14.765000,14.420000,14.585000,10.836720,6735129
2016-06-23,14.625000,14.870000,14.495000,14.685000,10.911020,8018403
2016-06-24,12.580000,13.770000,12.340000,13.475000,10.011985,18752212
2016-06-27,13.370000,13.650000,13.090000,13.180000,9.792798,10562025
2016-06-28,13.480000,13.745000,13.400000,13.515000,10.041705,8765189
2016-06-29,13.710000,14.085000,13.680000,14.035000,10.428067,8516399
2016-06-30,14.030000,14.595000,13.955000,14.510000,10.780996,12305089
2016-07-01,14.560000,14.655000,14.320000,14.420000,10.714123,8387086
2016-07-04,14.500000,14.680000,14.450000,14.545000,10.807000,4892087
2016-07-05,14.430000,14.495000,14.205000,14.270000,10.602673,5624443
2016-07-06,14.170000,14.355000,14.020000,14.095000,10.472649,5453451
2016-07-07,14.195000,14.435000,14.180000,14.225000,10.569240,4397427
2016-07-08,14.170000,14.565000,14.165000,14.540000,10.803285,7091409
2016-07-11,14.625000,14.845000,14.550000,14.715000,10.933311,4777069
2016-07-12,14.720000,14.850000,14.650000,14.730000,10.944455,3930064
2016-07-13,14.705000,14.970000,14.650000,14.895000,11.067051,4626272
2016-07-14,15.050000,15.185000,14.845000,14.940000,11.100485,4457420
2016-07-15,14.860000,15.055000,14.860000,15.025000,11.163641,3844364
2016-07-18,15.060000,15.190000,14.810000,14.905000,11.074480,3666690
2016-07-19,14.845000,14.905000,14.700000,14.815000,11.007610,3935228
2016-07-20,14.905000,14.995000,14.755000,14.920000,11.085627,3332080
2016-07-21,14.880000,15.165000,14.870000,15.080000,11.204507,5255104
2016-07-22,15.005000,15.170000,14.940000,15.060000,11.189648,2591575
2016-07-25,15.075000,15.205000,14.950000,15.015000,11.156211,3131389
2016-07-26,15.000000,15.090000,14.840000,15.040000,11.174788,3838726
2016-07-27,15.050000,15.140000,14.960000,15.015000,11.156211,3567651
2016-07-28,14.950000,15.050000,14.815000,14.855000,11.037332,4640496
2016-07-29,14.900000,14.965000,14.565000,14.725000,10.940741,6560423
2016-08-01,14.860000,14.935000,14.375000,14.400000,10.699265,6676068
2016-08-02,14.385000,14.415000,14.105000,14.250000,10.587814,4718780
2016-08-03,14.345000,14.430000,14.190000,14.295000,10.621248,4730872
2016-08-04,14.370000,14.500000,14.345000,14.425000,10.717841,4550989
2016-08-05,14.535000,14.645000,14.500000,14.620000,10.862725,4203718
2016-08-08,14.645000,14.725000,14.575000,14.635000,10.873871,3266178
2016-08-09,14.635000,14.705000,14.605000,14.650000,10.885015,3242461
2016-08-10,14.570000,14.690000,14.520000,14.560000,10.818145,4147746
2016-08-11,14.670000,14.760000,14.550000,14.705000,10.925879,3185493
2016-08-12,14.710000,14.890000,14.695000,14.820000,11.011326,4202499
2016-08-15,14.885000,14.945000,14.795000,14.835000,11.022470,2352210
2016-08-16,14.780000,14.845000,14.665000,14.675000,10.903589,3551205
2016-08-17,14.730000,14.745000,14.360000,14.360000,10.669543,4573655
2016-08-18,14.455000,14.495000,14.360000,14.470000,10.751274,2734463
2016-08-19,14.475000,14.540000,14.210000,14.320000,10.639823,3995342
2016-08-22,14.320000,14.460000,14.180000,14.245000,10.584098,3065721
2016-08-23,14.320000,14.410000,14.285000,14.370000,10.676973,3122000
2016-08-24,14.285000,14.385000,14.205000,14.295000,10.621248,2992112
2016-08-25,14.240000,14.290000,14.150000,14.250000,10.587814,2523807
2016-08-26,14.250000,14.440000,14.165000,14.330000,10.647253,2851059
2016-08-29,14.250000,14.300000,14.120000,14.250000,10.587814,1860699
2016-08-30,14.290000,14.420000,14.290000,14.300000,10.624963,2910208
2016-08-31,14.285000,14.420000,14.245000,14.290000,10.617534,3012308
2016-09-01,14.315000,14.485000,14.175000,14.220000,10.565522,3629743
