Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,13.790000,14.100000,13.790000,14.090000,10.552094,16283563
2016-06-08,14.010000,14.250000,13.970000,14.130000,10.582048,15253775
2016-06-09,14.190000,14.190000,13.900000,14.060000,10.529625,12694390
2016-06-10,13.980000,14.060000,13.750000,13.770000,10.312443,18141725
2016-06-13,13.570000,13.680000,13.410000,13.450000,10.072791,17010106
2016-06-14,13.320000,13.470000,13.140000,13.200000,9.885565,18517630
2016-06-15,13.270000,13.490000,13.240000,13.370000,10.012879,15987340
2016-06-16,13.180000,13.310000,13.010000,13.230000,9.908032,33018822
2016-06-17,13.330000,13.780000,13.300000,13.750000,10.297464,25706965
2016-06-20,13.900000,14.200000,13.870000,14.160000,10.604516,18343234
2016-06-21,14.130000,14.340000,14.050000,14.340000,10.739317,14755938
2016-06-22,14.400000,14.460000,14.120000,14.120000,10.574559,15458546
2016-06-23,14.220000,14.580000,14.140000,14.580000,10.919056,18400037
2016-06-24,13.500000,13.730000,13.160000,13.240000,9.915522,50381889
2016-06-27,13.200000,13.730000,13.120000,13.230000,9.908032,31603956
2016-06-28,13.490000,13.810000,13.410000,13.660000,10.230062,26940052
2016-06-29,13.830000,14.310000,13.820000,14.300000,10.709362,24969923
2016-06-30,14.200000,14.520000,14.100000,14.520000,10.874123,22574066
2016-07-01,14.540000,14.880000,14.400000,14.820000,11.098794,23035792
2016-07-04,14.840000,14.920000,14.520000,14.520000,10.874123,15100766
2016-07-05,14.390000,14.580000,14.250000,14.410000,10.791743,15971018
2016-07-06,14.340000,14.420000,14.050000,14.140000,10.589538,19415986
2016-07-07,14.270000,14.400000,14.130000,14.220000,10.649450,13743159
2016-07-08,14.200000,14.500000,14.040000,14.500000,10.859144,17859364
2016-07-11,14.550000,14.670000,14.320000,14.670000,10.986457,15920815
2016-07-12,14.670000,14.880000,14.660000,14.810000,11.091305,18303138
2016-07-13,14.690000,14.870000,14.620000,14.630000,10.956502,16454730
2016-07-14,14.800000,14.940000,14.670000,14.900000,11.158705,18398496
2016-07-15,14.830000,14.840000,14.610000,14.720000,11.023905,13197322
2016-07-18,14.820000,14.850000,14.520000,14.560000,10.904078,11852235
2016-07-19,14.550000,14.640000,14.300000,14.510000,10.866632,13062944
2016-07-20,14.630000,14.640000,14.230000,14.370000,10.761786,13248837
2016-07-21,14.370000,14.390000,14.140000,14.290000,10.701873,12688155
2016-07-22,14.200000,14.500000,14.180000,14.230000,10.656938,12869786
2016-07-25,14.230000,14.340000,13.970000,14.030000,10.507158,14499207
2016-07-26,14.060000,14.090000,13.780000,14.040000,10.514647,14296163
2016-07-27,14.120000,14.280000,13.990000,14.030000,10.507158,12535085
2016-07-28,14.040000,14.060000,13.670000,13.670000,10.237551,16431357
2016-07-29,13.500000,13.680000,13.100000,13.680000,10.245040,21435710
2016-08-01,13.820000,13.830000,13.410000,13.410000,10.042836,14271323
2016-08-02,13.410000,13.420000,13.080000,13.130000,9.833141,21672105
2016-08-03,13.220000,13.300000,13.060000,13.220000,9.900544,15534148
2016-08-04,13.280000,13.460000,13.170000,13.250000,9.923010,15218294
2016-08-05,13.320000,13.470000,13.290000,13.410000,10.042836,15257299
2016-08-08,13.520000,13.610000,13.410000,13.570000,10.162661,12046005
2016-08-09,13.530000,13.660000,13.480000,13.550000,10.147682,10113272
2016-08-10,13.480000,13.570000,13.350000,13.510000,10.117726,10056726
2016-08-11,13.490000,13.700000,13.300000,13.700000,10.260017,12387055
2016-08-12,13.740000,13.840000,13.610000,13.700000,10.260017,11198246
2016-08-16,13.660000,13.940000,13.640000,13.740000,10.289974,16145139
2016-08-17,13.790000,13.790000,13.550000,13.570000,10.162661,11807636
2016-08-18,13.690000,13.780000,13.590000,13.740000,10.289974,9944892
2016-08-19,13.740000,13.800000,13.370000,13.470000,10.087770,14518818
2016-08-22,13.410000,13.580000,13.340000,13.440000,10.065301,10191321
2016-08-23,13.470000,13.680000,13.420000,13.620000,10.200106,12249663
2016-08-24,13.560000,13.610000,13.450000,13.510000,10.117726,12221193
2016-08-25,13.530000,13.540000,13.340000,13.350000,9.997902,11774042
2016-08-26,13.380000,13.620000,13.280000,13.610000,10.192616,11888939
2016-08-29,13.510000,13.550000,13.350000,13.470000,10.087770,7750794
2016-08-30,13.500000,13.720000,13.500000,13.700000,10.260017,12332138
2016-08-31,13.650000,13.740000,13.540000,13.540000,10.140194,11673097
2016-09-01,13.600000,13.680000,13.350000,13.440000,10.065301,13799509
2016-09-02,13.500000,13.770000,13.400000,13.720000,10.274997,14798316
2016-09-05,13.750000,13.990000,13.740000,13.830000,10.357376,13927545
2016-09-06,13.950000,13.990000,13.740000,13.740000,10.289974,14313469
2016-09-07,13.820000,13.940000,13.740000,13.880000,10.394822,17142408
2016-09-08,13.920000,14.030000,13.750000,14.030000,10.507158,19789381
2016-09-09,13.980000,14.020000,13.750000,13.770000,10.312443,17387884
2016-09-12,13.570000,13.600000,13.330000,13.560000,10.155172,22655298
2016-09-13,13.540000,13.590000,13.110000,13.110000,9.818162,22628335
2016-09-14,13.220000,13.300000,13.040000,13.150000,9.848120,21475182
2016-09-15,13.090000,13.250000,13.020000,13.210000,9.893054,20508633
2016-09-16,13.120000,13.160000,12.860000,12.910000,9.668382,30673031
2016-09-19,12.680000,12.880000,12.670000,12.700000,9.815226,18783945
2016-09-20,12.650000,12.690000,12.460000,12.470000,9.637467,16663885
2016-09-21,12.610000,12.780000,12.490000,12.510000,9.668384,18458067
2016-09-22,12.660000,12.770000,12.630000,12.650000,9.776582,23523054
2016-09-23,12.620000,12.690000,12.530000,12.600000,9.737939,16547134
2016-09-26,12.500000,12.520000,12.350000,12.370000,9.560184,15942461
