Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,6.015000,6.036000,5.995000,6.025000,4.832652,15240095
2016-06-08,5.994000,6.067000,5.985000,6.053000,4.855111,12830223
2016-06-09,6.031000,6.100000,6.025000,6.078000,4.875164,17042488
2016-06-10,6.059000,6.086000,5.914000,5.914000,4.743619,21425565
2016-06-13,5.859000,5.883000,5.802000,5.813000,4.662607,16629236
2016-06-14,5.763000,5.770000,5.668000,5.668000,4.546302,32777049
2016-06-15,5.682000,5.791000,5.665000,5.718000,4.586407,46547092
2016-06-16,5.650000,5.744000,5.630000,5.711000,4.580792,34715954
2016-06-17,5.764000,5.865000,5.753000,5.810000,4.660200,48517939
2016-06-20,5.931000,6.018000,5.919000,6.016000,4.825432,35438389
2016-06-21,6.030000,6.040000,5.973000,5.973000,4.790942,42848632
2016-06-22,6.003000,6.040000,5.954000,5.985000,4.800568,19860908
2016-06-23,6.041000,6.082000,5.944000,6.000000,4.812600,56694443
2016-06-24,4.808000,5.580000,4.800000,5.388000,4.321714,71430304
2016-06-27,5.420000,5.662000,5.390000,5.540000,4.443633,67093731
2016-06-28,5.645000,5.782000,5.600000,5.712000,4.581594,45965181
2016-06-29,5.783000,5.940000,5.783000,5.940000,4.764473,25685407
2016-06-30,5.945000,6.087000,5.911000,6.087000,4.882382,33416512
2016-07-01,6.100000,6.130000,6.023000,6.060000,4.860724,44195907
2016-07-04,6.104000,6.124000,6.049000,6.110000,4.900831,40643524
2016-07-05,5.892000,5.924000,5.710000,5.728000,4.713223,40408386
2016-07-06,5.702000,5.739000,5.665000,5.700000,4.690184,31195852
2016-07-07,5.753000,5.802000,5.730000,5.780000,4.756011,26063876
2016-07-08,5.774000,5.896000,5.764000,5.858000,4.820192,32712044
2016-07-11,5.900000,5.920000,5.844000,5.872000,4.831712,47511992
2016-07-12,5.856000,5.895000,5.795000,5.850000,4.813610,22826146
2016-07-13,5.856000,5.965000,5.838000,5.938000,4.886020,26161842
2016-07-14,5.990000,6.004000,5.922000,5.948000,4.894248,21131220
2016-07-15,5.955000,5.994000,5.894000,5.966000,4.909059,24516642
2016-07-18,5.987000,6.030000,5.966000,6.010000,4.945264,15379278
2016-07-19,5.987000,6.017000,5.948000,5.986000,4.925516,25909238
2016-07-20,6.050000,6.159000,6.003000,6.135000,5.048119,29386308
2016-07-21,6.156000,6.170000,6.096000,6.135000,5.048119,41212147
2016-07-22,6.102000,6.163000,6.091000,6.130000,5.044004,18902578
2016-07-25,6.169000,6.225000,6.144000,6.175000,5.081032,17718081
2016-07-26,6.170000,6.199000,6.131000,6.175000,5.081032,18847878
2016-07-27,6.192000,6.213000,6.157000,6.157000,5.066221,14389692
2016-07-28,6.160000,6.172000,6.098000,6.098000,5.017673,11934342
2016-07-29,6.144000,6.155000,6.100000,6.145000,5.056347,21237664
2016-08-01,6.170000,6.190000,6.093000,6.093000,5.013559,8947668
2016-08-02,6.094000,6.102000,5.993000,6.000000,4.937036,17277743
