Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,2.218000,2.258000,2.216000,2.242000,1.509761,91430041
2016-06-08,2.240000,2.240000,2.176000,2.216000,1.492253,89188896
2016-06-09,2.196000,2.228000,2.178000,2.196000,1.478785,80647075
2016-06-10,2.184000,2.192000,2.092000,2.106000,1.418179,135709680
2016-06-13,2.068000,2.076000,1.982000,1.982000,1.334678,157372377
2016-06-14,1.958000,2.008000,1.902000,1.913000,1.288213,174571939
2016-06-15,1.945000,1.989000,1.931000,1.967000,1.324577,157927246
2016-06-16,1.907000,1.950000,1.891000,1.950000,1.313129,215675671
2016-06-17,1.975000,2.050000,1.971000,2.040000,1.373735,153852361
2016-06-20,2.120000,2.146000,2.086000,2.102000,1.415486,137233792
2016-06-21,2.116000,2.166000,2.096000,2.154000,1.450503,97040905
2016-06-22,2.168000,2.174000,2.118000,2.152000,1.449156,85995919
2016-06-23,2.154000,2.258000,2.132000,2.258000,1.520536,164518857
2016-06-24,1.722000,1.876000,1.681000,1.740000,1.171715,711715261
2016-06-27,1.740000,1.780000,1.522000,1.550000,1.043769,604627013
2016-06-28,1.636000,1.689000,1.600000,1.624000,1.093601,398500065
2016-06-29,1.680000,1.718000,1.601000,1.648000,1.109762,302152856
2016-06-30,1.636000,1.753000,1.560000,1.702000,1.146126,302839633
2016-07-01,1.786000,1.798000,1.653000,1.680000,1.131311,213850023
2016-07-04,1.681000,1.684000,1.597000,1.629000,1.096968,176031686
2016-07-05,1.604000,1.659000,1.587000,1.593000,1.072725,196036667
2016-07-06,1.580000,1.622000,1.557000,1.590000,1.070705,224534048
2016-07-07,1.610000,1.645000,1.581000,1.600000,1.077439,178053175
2016-07-08,1.584000,1.769000,1.576000,1.760000,1.185183,287435372
2016-07-11,1.782000,1.800000,1.718000,1.800000,1.212119,208209394
2016-07-12,1.804000,1.960000,1.798000,1.918000,1.291580,307248423
2016-07-13,1.927000,1.962000,1.874000,1.896000,1.276765,185776016
2016-07-14,1.929000,1.971000,1.915000,1.936000,1.303701,190357448
2016-07-15,1.914000,1.983000,1.908000,1.931000,1.300334,184538306
2016-07-18,1.928000,1.969000,1.894000,1.935000,1.303028,158562028
2016-07-19,1.925000,1.958000,1.853000,1.923000,1.294947,186269328
2016-07-20,1.947000,1.973000,1.932000,1.947000,1.311109,153151982
2016-07-21,1.944000,1.982000,1.922000,1.953000,1.315149,169746590
2016-07-22,1.940000,1.961000,1.930000,1.956000,1.317169,117253631
2016-07-25,1.960000,1.967000,1.912000,1.920000,1.292927,119335485
2016-07-26,1.929000,1.942000,1.878000,1.928000,1.298314,126887659
2016-07-27,1.926000,1.980000,1.925000,1.962000,1.321210,151492958
2016-07-28,1.965000,1.969000,1.891000,1.903000,1.281479,158742676
2016-07-29,1.925000,2.002000,1.917000,1.970000,1.326597,207095017
2016-08-01,2.050000,2.062000,1.901000,1.901000,1.280132,233152925
2016-08-02,1.906000,1.914000,1.813000,1.829000,1.231648,224063328
2016-08-03,1.850000,1.883000,1.802000,1.819000,1.224914,226336039
2016-08-04,1.836000,1.856000,1.804000,1.820000,1.225587,149783348
2016-08-05,1.822000,1.900000,1.820000,1.900000,1.279459,161731029
2016-08-08,1.910000,1.949000,1.910000,1.924000,1.295620,97526175
2016-08-09,1.925000,1.950000,1.916000,1.933000,1.301681,75583961
2016-08-10,1.937000,1.970000,1.927000,1.950000,1.313129,105381446
2016-08-11,1.967000,1.976000,1.941000,1.970000,1.326597,89147112
2016-08-12,1.967000,1.984000,1.967000,1.976000,1.330637,68295368
2016-08-16,1.953000,1.973000,1.935000,1.937000,1.304375,88566682
2016-08-17,1.938000,1.944000,1.886000,1.886000,1.270031,86935317
2016-08-18,1.907000,1.914000,1.857000,1.901000,1.280132,86464995
2016-08-19,1.888000,1.894000,1.809000,1.829000,1.231648,153828821
2016-08-22,1.830000,1.879000,1.824000,1.848000,1.244442,99385093
2016-08-23,1.860000,1.944000,1.857000,1.940000,1.306395,127183919
2016-08-24,1.926000,2.000000,1.913000,1.999000,1.346125,169540039
2016-08-25,1.981000,2.010000,1.967000,1.981000,1.334004,105033476
2016-08-26,1.984000,2.014000,1.949000,2.014000,1.356226,99519411
2016-08-29,2.000000,2.036000,1.983000,1.995000,1.343432,57707494
2016-08-30,2.014000,2.044000,2.008000,2.044000,1.376428,87151804
2016-08-31,2.030000,2.130000,2.028000,2.130000,1.434341,179867217
2016-09-01,2.132000,2.220000,2.112000,2.130000,1.434341,210107062
2016-09-02,2.158000,2.196000,2.126000,2.192000,1.476092,135913209
2016-09-05,2.202000,2.216000,2.172000,2.182000,1.469358,94198206
2016-09-06,2.192000,2.196000,2.138000,2.138000,1.439728,87273122
2016-09-07,2.146000,2.176000,2.102000,2.158000,1.453196,99481646
2016-09-08,2.156000,2.194000,2.140000,2.192000,1.476092,117652073
2016-09-09,2.178000,2.206000,2.164000,2.166000,1.458583,109037970
2016-09-12,2.114000,2.132000,2.094000,2.122000,1.428954,115027726
2016-09-13,2.154000,2.154000,2.082000,2.082000,1.402018,89625213
2016-09-14,2.094000,2.100000,2.050000,2.080000,1.400671,107624855
2016-09-15,2.062000,2.104000,2.044000,2.080000,1.400671,103507018
2016-09-16,2.060000,2.076000,2.012000,2.014000,1.356226,160698501
2016-09-19,2.040000,2.086000,2.028000,2.064000,1.389896,88657610
2016-09-20,2.066000,2.078000,1.993000,2.008000,1.352186,104549445
2016-09-21,2.054000,2.080000,2.034000,2.036000,1.371041,81210246
2016-09-22,2.068000,2.086000,2.044000,2.062000,1.388550,86789533
2016-09-23,2.062000,2.066000,1.996000,1.996000,1.344105,104957421
2016-09-26,1.980000,1.987000,1.916000,1.973000,1.328617,123937909
2016-09-27,1.992000,2.000000,1.922000,1.948000,1.311782,110107255
2016-09-28,1.952000,1.993000,1.943000,1.943000,1.308415,82024339
2016-09-29,1.976000,1.983000,1.928000,1.946000,1.310435,77449123
2016-09-30,1.879000,1.977000,1.852000,1.974000,1.329291,157559050
2016-10-03,1.950000,1.974000,1.915000,1.928000,1.298314,86049596
2016-10-04,1.941000,1.951000,1.915000,1.930000,1.299661,84602428
2016-10-05,1.917000,1.999000,1.911000,1.994000,1.342758,126065903
2016-10-06,2.010000,2.044000,1.998000,2.008000,1.352186,124944891
2016-10-07,2.014000,2.038000,1.984000,2.002000,1.348146,104125206
2016-10-10,1.991000,2.036000,1.965000,2.014000,1.356226,91827267
2016-10-11,2.010000,2.014000,1.971000,1.971000,1.327270,100026131
2016-10-12,1.980000,1.992000,1.954000,1.976000,1.330637,94185748
2016-10-13,1.958000,1.959000,1.911000,1.930000,1.299661,98372077
2016-10-14,1.935000,2.002000,1.929000,1.983000,1.335351,115714230
2016-10-17,1.989000,2.018000,1.985000,2.002000,1.348146,87250141
2016-10-18,2.016000,2.058000,2.012000,2.056000,1.384509,89371706
2016-10-19,2.062000,2.086000,2.044000,2.070000,1.393937,74939591
2016-10-20,2.084000,2.110000,2.058000,2.108000,1.419526,92288662
2016-10-21,2.114000,2.118000,2.092000,2.112000,1.422220,73356218
2016-10-24,2.130000,2.160000,2.124000,2.156000,1.451849,98520424
2016-10-25,2.156000,2.170000,2.116000,2.154000,1.450503,92127060
