Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,29.809999,30.120001,29.745001,29.745001,26.756231,2543461
2016-06-08,29.600000,29.775000,29.450001,29.674999,26.693258,1695025
2016-06-09,29.600000,29.725000,29.410000,29.555000,26.585318,51524365
2016-06-10,29.500000,29.570000,28.889999,28.910000,26.005125,4818788
2016-06-13,28.525000,28.809999,28.485001,28.485001,25.622828,6285798
2016-06-14,28.245001,28.370001,27.924999,27.980000,25.168575,7603059
2016-06-15,28.629999,29.665001,28.485001,29.520000,26.553835,9466581
2016-06-16,29.549999,29.915001,29.090000,29.700001,26.715748,6483556
2016-06-17,29.770000,30.155001,28.975000,29.264999,26.324455,5787931
2016-06-20,29.889999,30.235001,29.795000,30.129999,27.102539,4947183
2016-06-21,30.075001,30.430000,29.950001,30.370001,27.318428,7431774
2016-06-22,30.450001,30.680000,30.125000,30.445000,27.385887,4085965
2016-06-23,30.735001,31.170000,30.650000,31.010000,27.894119,7295811
2016-06-24,27.584999,29.799999,27.180000,28.900000,25.996132,10852477
2016-06-27,28.825001,29.420000,28.240000,28.415001,25.559864,8128212
2016-06-28,29.075001,29.184999,28.780001,28.920000,26.014120,4159806
2016-06-29,29.200001,29.820000,29.150000,29.809999,26.814690,3255115
2016-06-30,29.750000,30.049999,29.500000,29.910000,26.904644,5381023
2016-07-01,30.129999,30.290001,29.790001,29.985001,26.972111,7469750
2016-07-04,30.195000,30.299999,29.809999,30.004999,26.990101,5272843
2016-07-05,29.879999,30.105000,29.610001,29.809999,26.814690,2762506
2016-07-06,29.715000,29.735001,29.245001,29.514999,26.549337,3770572
2016-07-07,29.709999,29.905001,29.379999,29.500000,26.535843,2841497
2016-07-08,29.395000,30.090000,29.299999,29.795000,26.801205,3721592
2016-07-11,30.014999,30.440001,29.799999,30.400000,27.345409,3565913
2016-07-12,30.459999,31.230000,30.450001,30.930000,27.822159,3609176
2016-07-13,30.770000,31.080000,30.600000,30.930000,27.822159,2738952
2016-07-14,31.120001,31.200001,30.790001,30.870001,27.768185,2472459
2016-07-15,30.875000,30.875000,30.440001,30.725000,27.637754,2516672
2016-07-18,30.809999,31.000000,30.525000,30.750000,27.660246,1697919
2016-07-19,30.740000,30.834999,30.420000,30.719999,27.633259,1696259
2016-07-20,30.980000,31.065001,30.735001,30.980000,27.867132,2432735
2016-07-21,30.965000,31.030001,30.600000,30.754999,27.664743,8454771
2016-07-22,30.665001,30.965000,30.395000,30.924999,27.817657,3429023
2016-07-25,30.940001,31.120001,30.795000,30.980000,27.867132,1846951
2016-07-26,31.000000,31.059999,30.730000,30.900000,27.795170,1463409
2016-07-27,30.905001,31.344999,30.770000,30.875000,27.772682,2606449
2016-07-28,30.870001,31.059999,30.645000,30.645000,27.565794,1929330
2016-07-29,30.684999,30.995001,30.620001,30.940001,27.831150,2008053
2016-08-01,31.125000,31.465000,30.969999,31.150000,28.020052,1390178
2016-08-02,31.170000,31.190001,30.475000,30.610001,27.534311,2386039
2016-08-03,30.645000,30.650000,30.174999,30.570000,27.498331,1972618
2016-08-04,30.650000,30.980000,30.545000,30.844999,27.745697,3197334
2016-08-05,31.145000,32.060001,31.120001,32.060001,28.838615,3553927
2016-08-08,32.060001,32.169998,31.594999,31.625000,28.447325,1788786
2016-08-09,31.450001,32.165001,31.385000,32.115002,28.888092,2197855
2016-08-10,31.865000,32.055000,31.770000,31.815001,28.618233,2044520
2016-08-11,32.000000,32.084999,31.709999,32.000000,28.784643,1328774
2016-08-12,31.980000,32.064999,31.830000,31.930000,28.721676,1568050
2016-08-15,31.889999,32.240002,31.870001,31.950001,28.739668,1397510
2016-08-16,31.934999,31.934999,31.195000,31.195000,28.060532,2189502
2016-08-17,31.365000,31.405001,30.860001,30.930000,27.822159,2182662
2016-08-18,31.040001,31.420000,30.950001,31.420000,28.262924,1699836
2016-08-19,31.504999,31.504999,31.075001,31.365000,28.213451,1542723
2016-08-22,31.285000,31.490000,30.940001,31.145000,28.015556,1339541
2016-08-23,31.500000,32.000000,31.379999,31.955000,28.744164,4026635
2016-08-24,31.680000,32.139999,31.660000,32.070000,28.847610,6449704
2016-08-25,31.915001,31.930000,31.645000,31.709999,28.523781,3242626
2016-08-26,31.780001,31.895000,31.510000,31.830000,28.631725,1493107
2016-08-29,31.650000,31.740000,31.389999,31.700001,28.514790,1131243
2016-08-30,31.764999,32.035000,31.700001,31.875000,28.672203,4224133
2016-08-31,31.830000,32.070000,31.700001,31.764999,28.573257,3772129
2016-09-01,31.900000,32.130001,31.740000,31.809999,28.613733,1906738
2016-09-02,31.850000,32.424999,31.815001,32.369999,29.117464,3427719
2016-09-05,32.450001,32.480000,32.305000,32.395000,29.139954,1362911
2016-09-06,32.500000,32.500000,32.224998,32.294998,29.049999,1911130
2016-09-07,32.500000,33.105000,32.470001,33.105000,29.778614,3074083
2016-09-08,33.150002,33.160000,32.540001,32.884998,29.580721,2192755
2016-09-09,32.645000,32.645000,32.105000,32.255001,29.014025,2938676
2016-09-12,31.895000,32.049999,31.520000,31.995001,28.780148,2409370
2016-09-13,32.099998,32.240002,31.620001,31.620001,28.442827,3097339
2016-09-14,31.940001,32.080002,31.575001,31.825001,28.627228,2797911
2016-09-15,31.760000,32.025002,31.600000,31.924999,28.717178,3642892
2016-09-16,31.950001,32.174999,31.500000,31.745001,28.555269,5790086
2016-09-19,32.000000,32.389999,31.875000,32.389999,29.135454,2884392
