Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,5.045000,5.090000,5.030000,5.040000,4.394279,15646501
2016-06-08,5.040000,5.070000,5.000000,5.035000,4.389920,15821319
2016-06-09,5.040000,5.070000,5.000000,5.025000,4.381201,11421003
2016-06-10,5.045000,5.085000,4.970000,4.984000,4.345454,24756699
2016-06-13,4.950000,5.125000,4.890000,5.060000,4.411717,26540825
2016-06-14,5.005000,5.095000,4.944000,4.944000,4.310578,24439514
2016-06-15,5.010000,5.055000,4.936000,5.050000,4.402998,24600829
2016-06-16,5.010000,5.135000,5.005000,5.075000,4.424796,32994371
2016-06-17,4.920000,4.926000,4.808000,4.858000,4.320734,66884495
2016-06-20,4.940000,4.990000,4.916000,4.940000,4.393666,20725035
2016-06-21,4.950000,4.972000,4.890000,4.950000,4.402560,21430529
2016-06-22,4.970000,4.982000,4.910000,4.968000,4.418569,17969939
2016-06-23,4.976000,5.065000,4.944000,5.035000,4.478159,18997216
2016-06-27,4.484000,4.880000,4.480000,4.560000,4.055691,55046553
2016-06-28,4.668000,4.892000,4.634000,4.820000,4.286937,33150749
2016-06-29,4.872000,4.996000,4.842000,4.974000,4.423906,24881841
2016-06-30,5.000000,5.105000,5.000000,5.105000,4.540418,29843642
2016-07-01,5.120000,5.135000,5.015000,5.080000,4.518183,17070172
2016-07-04,5.090000,5.105000,4.978000,4.978000,4.427464,10625147
2016-07-05,4.964000,4.972000,4.784000,4.810000,4.278043,25063507
2016-07-06,4.814000,4.834000,4.722000,4.772000,4.244246,20689879
2016-07-07,4.790000,4.854000,4.732000,4.792000,4.262033,20547298
2016-07-08,4.796000,4.968000,4.772000,4.940000,4.393666,20571506
2016-07-11,4.970000,5.050000,4.942000,5.035000,4.478159,13645955
2016-07-12,5.040000,5.110000,5.020000,5.065000,4.504843,13958921
2016-07-13,5.175000,5.350000,5.130000,5.310000,4.722746,29454011
2016-07-14,5.350000,5.380000,5.310000,5.345000,4.753875,14936869
