Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,61.730000,62.130001,61.500000,61.500000,58.211666,836073
2016-06-08,61.220001,61.450001,60.910000,61.349998,58.069687,939431
2016-06-09,61.119999,61.230000,60.389999,61.000000,57.738400,860170
2016-06-10,60.830002,61.029999,60.169998,60.680000,57.435513,1385683
2016-06-13,59.570000,59.779999,58.619999,58.619999,55.485657,1634715
2016-06-14,57.810001,58.099998,57.020000,57.020000,53.971207,1381591
2016-06-15,57.720001,58.459999,56.020000,57.500000,54.425541,2625655
2016-06-16,56.830002,57.419998,56.279999,56.900002,53.857624,2072392
2016-06-17,57.419998,57.590000,56.669998,56.930000,53.886024,2033542
2016-06-20,58.090000,59.259998,57.950001,59.250000,56.081970,979818
2016-06-21,59.299999,60.650002,58.990002,60.419998,57.189407,1126457
2016-06-22,60.889999,61.459999,60.580002,61.029999,57.766792,1009103
2016-06-23,61.520000,63.000000,61.290001,62.189999,58.864769,1138236
2016-06-24,54.590000,59.990002,53.000000,58.279999,55.163834,3755641
2016-06-27,57.310001,58.250000,55.619999,56.020000,53.024673,1844192
2016-06-28,56.970001,58.310001,56.680000,57.820000,54.728428,1514127
2016-06-29,58.560001,59.490002,58.160000,59.299999,56.129295,1077203
2016-06-30,59.189999,61.150002,58.889999,60.919998,57.662678,1699656
2016-07-01,61.279999,61.580002,59.900002,61.070000,57.804657,1144306
2016-07-04,61.330002,61.389999,59.869999,60.150002,56.933853,557046
2016-07-05,59.849998,60.020000,58.400002,58.639999,55.504585,1029580
2016-07-06,58.139999,58.680000,56.990002,57.470001,54.397148,1350455
2016-07-07,57.799999,59.389999,57.669998,58.869999,55.722290,985036
2016-07-08,58.619999,60.060001,58.459999,59.860001,56.659359,785973
2016-07-11,60.450001,61.689999,60.180000,61.590000,58.296856,672032
2016-07-12,61.660000,62.660000,61.540001,62.209999,58.883701,827719
2016-07-13,61.930000,62.290001,61.540001,61.939999,58.628139,967727
2016-07-14,62.299999,63.230000,62.139999,63.070000,59.697720,1003623
2016-07-15,62.919998,63.299999,62.470001,62.599998,59.252853,758892
2016-07-18,62.759998,63.250000,61.959999,62.200001,58.874237,726699
2016-07-19,61.980000,62.509998,61.500000,61.750000,58.448299,915297
2016-07-20,62.150002,62.450001,61.650002,61.959999,58.647068,766783
2016-07-21,61.639999,61.900002,61.139999,61.540001,58.249531,783989
2016-07-22,61.540001,61.540001,60.610001,60.849998,57.596416,816097
2016-07-25,60.750000,61.590000,60.610001,61.410000,58.126476,770903
2016-07-26,61.259998,62.869999,61.150002,62.790001,59.432690,883185
2016-07-27,62.880001,64.610001,62.880001,63.660000,60.256172,980796
2016-07-28,63.430000,64.459999,63.259998,64.250000,60.814625,1048644
2016-07-29,63.900002,63.900002,60.290001,60.799999,57.549091,2263642
2016-08-01,61.160000,62.169998,61.000000,62.029999,58.713329,1260922
2016-08-02,61.950001,62.250000,61.009998,61.220001,57.946636,1106566
2016-08-03,61.310001,61.450001,60.580002,60.750000,57.501766,754194
2016-08-04,61.240002,61.500000,60.099998,60.360001,57.132622,913387
2016-08-05,60.500000,61.020000,59.910000,60.509998,57.274597,1263049
2016-08-08,60.750000,61.340000,60.549999,60.919998,57.662678,846769
