Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,3.883407,3.954100,3.875867,3.904144,3.135548,57796519
2016-06-08,3.890948,3.900373,3.822140,3.850417,3.092398,50917191
2016-06-09,3.848532,3.901316,3.826853,3.832508,3.078015,70458308
2016-06-10,3.798575,3.802346,3.638338,3.639280,2.922827,90437579
2016-06-13,3.581783,3.608175,3.512033,3.512033,2.820631,74414373
2016-06-14,3.487526,3.527114,3.415890,3.416833,2.744173,92506940
2016-06-15,3.479043,3.561047,3.442282,3.474330,2.790350,119741314
2016-06-16,3.393268,3.458306,3.351795,3.449823,2.770668,104096569
2016-06-17,3.534655,3.637395,3.522401,3.587439,2.881192,172598461
2016-06-20,3.760872,3.789150,3.693007,3.728825,2.994744,76836020
2016-06-21,3.729767,3.813657,3.709031,3.793863,3.046978,98179842
2016-06-22,3.808001,3.871154,3.724112,3.817427,3.065902,75898450
2016-06-23,3.833451,3.985205,3.789150,3.981435,3.197623,107411928
2016-06-24,2.987961,3.346140,2.969110,3.189672,2.561732,390443042
2016-06-27,3.391383,3.393268,3.029434,3.110496,2.498143,243494070
2016-06-28,3.223605,3.251882,3.153854,3.165165,2.542050,126790613
2016-06-29,3.251882,3.298068,3.229260,3.276389,2.631377,136113287
2016-06-30,3.223605,3.265078,3.158567,3.232088,2.595797,148737864
2016-07-01,3.298068,3.334829,3.214179,3.301839,2.651817,128784918
2016-07-04,3.309379,3.348025,3.247169,3.286757,2.639705,83880809
2016-07-05,3.251882,3.293355,3.172706,3.188730,2.560976,75807642
2016-07-06,3.157625,3.188730,3.082219,3.129347,2.513283,95852718
2016-07-07,3.156682,3.207581,3.132175,3.157625,2.535994,63977271
2016-07-08,3.137831,3.336714,3.116151,3.320690,2.666957,127866428
2016-07-11,3.364991,3.391383,3.261308,3.364048,2.701780,58552545
2016-07-12,3.375359,3.588381,3.353680,3.582726,2.877407,238921350
2016-07-13,3.546908,3.626084,3.492239,3.510148,2.819117,174546120
